name,species,gender,house,blood
Bathsheda Babbling,Human,Female,unknown,unknown
Gwendoline Babcocke,Human,Female,unknown,unknown
Gwendoline Babcocke's mother,Human,Female,unknown,unknown
Patrick Bagby's mother,Human,Female,unknown,unknown
Millicent Bagnold,Human,Female,Ravenclaw,unknown
Bathilda Bagshot,Human,Female,unknown,unknown
Kquewanda Bailey,Human,Female,unknown,unknown
Tabitha Bainbridge,Human,Female,Slytherin,unknown
Sadie Baldock,Human,Female,Slytherin,unknown
Ball Guest,Human,Female,unknown,unknown
Oona Ballington,Human,Female,Gryffindor,unknown
Yvonne Bampton,Human,Female,Ravenclaw,unknown
Bandon Banshee,unknown,unknown,unknown,unknown
Chastity Barebone,Human,Female,unknown,Muggle
Mary Lou Barebone,Human,Female,unknown,Muggle
Modesty Barebone,Human,Female,unknown,Muggle
Modesty Barebone's biological mother,Human,Female,unknown,unknown
Musidora Barkwith,Human,Female,unknown,unknown
Allison Barnes,Human,Female,Gryffindor,unknown
Celia Barnett,Human,Female,unknown,unknown
Elsie Barrett,Human,Female,unknown,unknown
Baruffio's wife,Human,Female,unknown,unknown
Unidentified witch in Bath,Human,Female,unknown,unknown
Concepta Battista,Human,Female,Gryffindor,unknown
Hetty Bayliss,Human,Female,unknown,Muggle
Bean,Human,Female,unknown,unknown
Violetta Beauvais,Human,Female,unknown,unknown
Katie Bell,Human,Female,Gryffindor,Pure-blood
Katie Bell's mother,Human,Female,unknown,unknown
Fiona Belmont,Human,Female,Gryffindor,unknown
Belvina Burke's daughter,Human,Female,unknown,Pure-blood
Amy Benson,Human,Female,unknown,Muggle
Sophie Berger,Human,Female,unknown,unknown
Céleste Bergne,Human,Female,unknown,unknown
Bernadette,Human,Female,unknown,unknown
Bernadette Beauchene,Human,Female,unknown,unknown
Beryl,Human,Female,unknown,unknown
Bespectacled Slytherin girl,Human,Female,Slytherin,unknown
Betty Huxley,Human,Female,unknown,unknown
Kinjal Bhatia,Human,Female,Slytherin,unknown
Kajol Bhatt,Human,Female,Gryffindor,unknown
Betty Bickering,Human,Female,Gryffindor,unknown
Unidentified Big Bean Shack spokeswoman,Human,Female,unknown,Muggle
Gilbert Bingley's wife,Human,Female,unknown,Muggle
Trevor Birch's mother,Human,Female,unknown,unknown
Sally Birchgrove,Human,Female,Gryffindor,unknown
Vicky Bishopper,Human,Female,Slytherin,unknown
Bitten St Mungo's patient,Human,Female,unknown,unknown
Alexia Walkin Black,Human,Female,Slytherin,Pure-blood
Annis Black,Hag,Female,unknown,unknown
Araminta Meliflua Black,Human,Female,Slytherin,Pure-blood
Belvina Black,Human,Female,Slytherin,Pure-blood
Callidora Black,Human,Female,unknown,Pure-blood
Cassiopeia Black,Human,Female,Slytherin,Pure-blood
Cedrella Black,Human,Female,Slytherin,Pure-blood
Charis Black,Human,Female,Slytherin,Pure-blood
Dorea Black,Human,Female,Slytherin,Pure-blood
Druella Black,Human,Female,unknown,Pure-blood
Elladora Black,Human,Female,Slytherin,Pure-blood
Hesper Black,Human,Female,Slytherin,Pure-blood
Iola Black,Human,Female,Slytherin,Pure-blood
Lucretia Black,Human,Female,Slytherin,Pure-blood
Lycoris Black,Human,Female,Slytherin,Pure-blood
Misapinoa Black,Human,Female,unknown,Pure-blood
Phoebe Black,Human,Female,Slytherin,Pure-blood
Walburga Black,Human,Female,Slytherin,Pure-blood
Genevieve Bladt,Human,Female,unknown,unknown
Susan Blancheflower,unknown,Female,unknown,unknown
Bletchley (musician),Human,Female,unknown,unknown
Kursten Blijk,Human,Female,unknown,unknown
Lara Blishen,unknown,Female,unknown,unknown
Beatrix Bloxam,Human,Female,unknown,Half-blood
Beatrix Bloxam's aunt,Human,Female,unknown,unknown
Melinda Bobbin,Human,Female,unknown,Pure-blood
Jordanna Bodiment,Human,Female,unknown,unknown
Bogle-banshee,Banshee,Female,unknown,unknown
Sylvian Boigny,Human,Female,unknown,unknown
Anne Boleyn,Human,Female,unknown,Squib
Amelia Bones's mother,Human,Female,Hufflepuff,unknown
Edgar Bones' wife,Human,Female,unknown,unknown
Amelia Bones,Human,Female,unknown,Pure-blood
Seraphina Bones,Human,Female,Hufflepuff,unknown
Susan Bones,Human,Female,Hufflepuff,Half-blood
Bonhabille,Human,Female,unknown,unknown
Boot brothers' mother,Human,Female,unknown,unknown
Webster Boot's wife,Human,Female,unknown,unknown
Gladys Boothby,Human,Female,unknown,unknown
Borboleta,Human,Female,unknown,unknown
Boy who failed Avifors Spell's cousin,Human,Female,Slytherin,unknown
Boyle,Human,Female,unknown,Muggle
Betty Braithwaite,Human,Female,unknown,unknown
Eleanor Branstone,Human,Female,Hufflepuff,unknown
Bridget,Human,Female,Slytherin,unknown
Brindlemore,Human,Female,unknown,unknown
Britannia,unknown,unknown,unknown,unknown
Justine Britnell,Human,Female,Gryffindor,unknown
Mandy Brocklehurst,Human,Female,Ravenclaw,Half-blood
Nerissa Brody,Human,Female,Slytherin,unknown
Sheila Brooks,Human,Female,Ravenclaw,unknown
Lavender Brown,Human,Female,Gryffindor,Pure-blood
Lavender Brown's mother,Human,Female,Gryffindor,Pure-blood
Flora Buchanan,Human,Female,unknown,Pure-blood
Mary Buchanan,Human,Female,unknown,unknown
Zygmunt Budge's great-grandmother,Human,Female,unknown,unknown
Zygmunt Budge's mother,Human,Female,unknown,unknown
Millicent Bulstrode,Human,Female,Slytherin,Half-blood
Violetta Bulstrode,Human,Female,unknown,Pure-blood
Rosalind Bungs,Human,Female,unknown,unknown
Bunty,Human,Female,unknown,unknown
Charity Burbage,Human,Female,unknown,Pure-blood
Betty Burgess,Human,Female,unknown,unknown
Elizabeth Burke,Human,Female,Slytherin,Pure-blood
Trisha Buttermere,Human,Female,Hufflepuff,unknown
Eunice Cabanart,Human,Female,unknown,unknown
Cadogan's ex-wives,Human,Female,unknown,unknown
Cadogan's mother,Human,Female,unknown,unknown
Josefina Calderon,Human,Female,unknown,unknown
Camelia,Human,Female,unknown,Pure-blood
Abigail R. Cankus,Human,Female,unknown,unknown
Diego Caplan's grandmother,Human,Female,unknown,unknown
Cas Carneirus,Human,Female,unknown,unknown
Carrow (1920s),Human,Female,unknown,Pure-blood
Alecto Carrow,Human,Female,Slytherin,Pure-blood
Flora Carrow,Human,Female,Slytherin,Pure-blood
Hestia Carrow,Human,Female,Slytherin,Pure-blood
Diane Carter,Human,Female,Slytherin,unknown
Greta Catchlove,Human,Female,unknown,unknown
Catherine Tyler,Human,Female,unknown,Muggle
Mary Cattermole's mother,Human,Female,unknown,Muggle
Ellie Cattermole,Human,Female,unknown,Half-blood
Maisie Cattermole,Human,Female,unknown,Half-blood
Mary Cattermole,Human,Female,unknown,Muggle-born
Poppy Caxton,Human,Female,Hufflepuff,unknown
Cecilia,Human,Female,unknown,Muggle
Cecily,Human,Female,unknown,unknown
Linda Chaddesley,Human,Female,Hufflepuff,unknown
Cho Chang,Human,Female,Ravenclaw,Pure-blood
Polly Chapman,Human,Female,Gryffindor,Pure-blood
Charles Weasley's colleagues,Human,Male,unknown,unknown
Liza Cherks,Human,Female,Gryffindor,unknown
Nina Chibbar,Human,Female,Gryffindor,unknown
Chinese Fireball at the Magical Creatures Reserve,Dragon,Female,unknown,unknown
Glenda Chittock,Human,Female,unknown,unknown
Anna Chiwawa,Human,Female,unknown,Muggle
Cho Chang's friends,unknown,unknown,unknown,unknown
Cho Chang's mother,Human,Female,Ravenclaw,unknown
Indira Choudry,Human,Female,unknown,unknown
Agatha Chubb,Human,Female,unknown,unknown
Circe,Human,Female,unknown,unknown
Elfrida Clagg,Human,Female,unknown,unknown
Georgia Clark-Day,unknown,Female,unknown,unknown
Penelope Clearwater,Human,Female,Ravenclaw,Muggle-born
Cliodna,Human,Female,unknown,unknown
Hannah Cockleford,Human,Female,unknown,unknown
Rachael Codnor,Human,Female,Gryffindor,unknown
Cole,Human,Female,unknown,Muggle
Angelica Cole,Human,Female,Gryffindor,unknown
Magenta Comstock,Human,Female,unknown,unknown
Lydia Cooden,Human,Female,Gryffindor,unknown
Hortense Cooper,Human,Female,Ravenclaw,unknown
Ben Copper's mother,Human,Female,unknown,Muggle
Martine Copplestone,Human,Female,Hufflepuff,unknown
Yvette Coquelot,Human,Female,unknown,Muggle
Corey Hayden's grandmother,Human,Female,unknown,Pure-blood
Loretta Cornhill,Human,Female,Ravenclaw,unknown
Daisy Corran,Human,Female,Ravenclaw,unknown
Jane Court,Human,Female,Hufflepuff,unknown
Irma Crabbe,Human,Female,unknown,Pure-blood
Ellen Cracknell,Human,Female,unknown,Muggle
Elfrida Cragg,Human,Female,unknown,unknown
Antonia Creaseworthy,Human,Female,unknown,unknown
Credence Barebone's aunt,Human,Female,unknown,unknown
Credence Barebone's mother,Human,Female,unknown,unknown
Dirk Cresswell's wife,Human,Female,unknown,Pure-blood
Corrine Cribb,Human,Female,unknown,unknown
Venusia Crickerly,Human,Female,unknown,Pure-blood
Delfina Crimp,Human,Female,unknown,unknown
Clutterbuck Crispe,Human,Female,unknown,unknown
Doris Crockford,Human,Female,unknown,unknown
Glinda Crook,Human,Female,unknown,unknown
Caspar Crouch's daughters,Human,Female,unknown,Pure-blood
Bartemius Crouch Junior's mother,Human,Female,unknown,Pure-blood
Crowd outside bakery in Surrey,Human,Male,unknown,unknown
Magali Crowe,Human,Female,unknown,unknown
Lisa Cullen,Human,Female,Gryffindor,unknown
Gerda Curd,Human,Female,unknown,unknown
Myra Curio,Human,Female,unknown,Pure-blood
Haley Dakota,Human,Female,Gryffindor,unknown
Deliverance Dane,Human,Female,unknown,unknown
Danielle,Human,Female,unknown,Muggle
Dark Witch from Knockturn Alley,Human,Female,unknown,unknown
Daryle,Human,Female,unknown,unknown
Mabel Dashalot,Human,Female,unknown,unknown
Roger Davies's girlfriend,Human,Female,unknown,unknown
Tracey Davis,Human,Female,Slytherin,Half-blood
Helen Dawlish,Human,Female,Ravenclaw,unknown
Jennifer Dawn,Human,Female,Gryffindor,unknown
Day maid at Leaky Cauldron,Human,Female,unknown,unknown
Female Death Eater at the Graveyard,Human,Female,unknown,Pure-blood
Unidentified female Death Eater at Malfoy Manor (I),Human,Female,unknown,unknown
Unidentified female Death Eater at Malfoy Manor (II),Human,Female,Slytherin,Pure-blood
Blossom Degrasse,Human,Female,unknown,unknown
Julia Dehoff (Muggle),Human,Female,unknown,Muggle
Julia Dehoff (witch),Human,Female,unknown,unknown
Delacour sisters' cousins,Veela,Female,unknown,unknown
Apolline Delacour,Half-breed,Female,unknown,unknown
Apolline Delacour's mother,Veela,Female,unknown,unknown
Fleur Delacour,Veela,Female,unknown,unknown
Gabrielle Delacour,Human,Female,unknown,unknown
Delphini,Human,Female,unknown,Half-blood
Elodie Dembélé,Human,Female,unknown,unknown
Alison Denbright,Human,Female,unknown,unknown
Amorette Deneuve,Human,Female,unknown,unknown
Irene Denholm,Human,Female,Hufflepuff,unknown
Alison Denshaw,Human,Female,Gryffindor,unknown
Dilys Derwent,Human,Female,unknown,unknown
Nanette Desford,Human,Female,Ravenclaw,unknown
Shruti Dev,Human,Female,Ravenclaw,unknown
Cedric Diggory's friends,Human,unknown,Hufflepuff,unknown
Cedric Diggory's mother,Human,Female,unknown,Pure-blood
Thora Dinnet,Human,Female,Hufflepuff,unknown
DJ Martha,Human,Female,unknown,unknown
Emma Dobbs,Human,Female,unknown,unknown
Daisy Dodderidge,Human,Female,Gryffindor,unknown
Damara Dodderidge,Human,Female,unknown,unknown
Nicola Dodworth,Human,Female,Hufflepuff,unknown
Mary Dorkins,Human,Female,unknown,Muggle
Dot,Human,Female,unknown,Muggle
Benedita Dourado,Human,Female,unknown,unknown
Ellie Dowson,unknown,Female,unknown,unknown
Doxy Queen,Doxy,Female,unknown,unknown
Mary Doyle,Human,Female,Gryffindor,unknown
Margot Droope,Human,Female,unknown,unknown
Irma Dugard,Part elf,Female,unknown,unknown
Matilda Dukelow,Human,Female,unknown,unknown
Ariana Dumbledore,Human,Female,unknown,Half-blood
Kendra Dumbledore,Human,Female,unknown,Muggle-born
Aurélie Dumont,Human,Female,unknown,Pure-blood
Fay Dunbar,Human,Female,Gryffindor,Pure-blood
Elora Dunn,unknown,Female,unknown,unknown
Priscilla Dupont,Human,Female,unknown,Pure-blood
Durmstrang girl,Human,Female,unknown,Pure-blood
Vernon Dursley's secretary,Human,Female,unknown,Muggle
Marjorie Dursley,Human,Female,unknown,Muggle
Dudley Dursley's wife,Human,Female,unknown,Muggle
Petunia Dursley,Human,Female,unknown,Muggle
Dursley siblings' mother,Human,Female,unknown,Muggle
Dursleys' female neighbour,Human,Female,unknown,Muggle
Mable Dwillingwort,Human,Female,unknown,unknown
Earl of Paunchley's forced servants,Human,Female,unknown,Muggle
Felicity Eastchurch,Human,Female,Ravenclaw,unknown
Edgecombe,Human,Female,unknown,unknown
Marietta Edgecombe,Human,Female,Ravenclaw,Pure-blood
Edith,unknown,Female,unknown,unknown
Edith Abernathy,Human,Female,unknown,unknown
Edith Nesbit,Human,Female,unknown,Muggle
Unidentified female Eeylops Owl Emporium employee,Human,Female,unknown,unknown
Andre Egwu's grandmother,Human,Female,unknown,unknown
Andre Egwu's sister,Human,Female,unknown,unknown
Jules Egwu,Human,Female,unknown,Pure-blood
Elena Eldritch,Human,Female,unknown,unknown
Eliana,Human,Female,unknown,unknown
Eliana's parents,Human,Male,unknown,unknown
Elicia,Human,Female,unknown,Muggle
George Eliot,unknown,Female,unknown,Muggle
Eliza,Human,Female,Ravenclaw,unknown
Elizabeth I,Human,Female,unknown,Muggle
Elizabeth II,Human,Female,unknown,Muggle
Elveira Elkins,Human,Female,unknown,unknown
Harriet Ellesmere,Human,Female,Ravenclaw,unknown
Elsie,unknown,Female,unknown,unknown
Emily (Gryffindor),Human,Female,Gryffindor,unknown
Emily (Hufflepuff),Human,Female,Hufflepuff,unknown
Haruka Endoh,Human,Female,Hufflepuff,unknown
Annabel Entwhistle,Human,Female,Hufflepuff,Muggle-born
Hilary Erskine,Human,Female,Ravenclaw,unknown
Mimi Erland,unknown,Female,unknown,unknown
Esposito,Human,Female,unknown,unknown
Ethel,Human,Female,unknown,unknown
Portrait of a female etiquette teacher,Human,Female,Gryffindor,unknown
Margaret Ettington,Human,Female,Ravenclaw,unknown
Lucy Evans,Human,Female,unknown,Muggle
Evans sisters' mother,Human,Female,unknown,Muggle
Tracie Everson,Human,Female,Gryffindor,unknown
Rosalyn Ewhurst,Human,Female,Gryffindor,unknown
Unidentified plump little witch examiner,Human,Female,unknown,unknown
Dahlia F.,Human,Female,unknown,unknown
G. F.,unknown,Female,unknown,unknown
Lordana F.,Human,Female,unknown,unknown
Natalie Fairbourne,Human,Female,Gryffindor,unknown
Fairy at the Magical Creatures Reserve,Fairy,Female,unknown,unknown
Fallen Fifty,Human,unknown,unknown,unknown
Perpetua Fancourt,Human,Female,Ravenclaw,unknown
Bella Farley,unknown,Female,unknown,unknown
Gemma Farley,Human,Female,Slytherin,unknown
Madge Farley,unknown,Female,unknown,unknown
Sara Farnham,Human,Female,unknown,Muggle
Fat Lady,Human,Female,Gryffindor,unknown
Franziska Faust,Human,Female,unknown,unknown
Fawcett,Human,Female,Ravenclaw,unknown
Lucretia Fawley,Human,Female,unknown,unknown
Melody Fawley,Human,Female,unknown,Half-blood
Penelope Fawley,Human,Female,Slytherin,Pure-blood
Penelope Fawley's mother,Human,Female,unknown,Pure-blood
Morgan le Fay,Human,Female,unknown,unknown
Sendelina de la Felino,Human,Female,unknown,unknown
Loretta Fieldwake (criminal),Human,Female,unknown,unknown
Loretta Fieldwake (Ministry employee),Human,Female,unknown,Pure-blood
Unidentified fifth year girl,Human,Female,unknown,unknown
Arabella Figg,Human,Female,unknown,Squib
Arabella Figg's parents,Human,Male,unknown,unknown
Justin Finch-Fletchley's mother,Human,Female,unknown,Muggle
Seamus Finnigan's mother,Human,Female,Gryffindor,unknown
Fisher's daughter,Human,Female,unknown,Muggle
Amelia Fittleworth,Human,Female,Hufflepuff,Half-blood
Rhonda Fladbury,Human,Female,Hufflepuff,unknown
Perenelle Flamel,Human,Female,unknown,unknown
Mopsy Fleabert,Human,Female,unknown,unknown
Laurentia Fletwock,Human,Female,unknown,unknown
Josephina Flint,Human,Female,unknown,Pure-blood
Ursula Flint,Human,Female,unknown,Pure-blood
Miranda Flockton,Human,Female,Ravenclaw,unknown
Florence,Human,Female,unknown,unknown
Fenella Flowerday,Human,Female,unknown,unknown
Virginia Flowers,unknown,Female,unknown,Muggle
Ambrosius Flume's wife,Human,Female,unknown,unknown
Louise Fontwell,Human,Female,Gryffindor,unknown
Kay Formby,Human,Female,Hufflepuff,unknown
Fortinbras,Human,Female,unknown,unknown
Fiesella Foss,unknown,unknown,unknown,unknown
Fridwulfa,Giant,Female,unknown,unknown
Vicky Frobisher,Human,Female,Gryffindor,unknown
Amy Frome,Human,Female,Slytherin,unknown
Lydia Fry,Human,Female,unknown,Muggle
Cornelius Fudge's wife,Human,Female,unknown,unknown
Fugitive Dark Witch,Human,Female,unknown,unknown
Fugitive werewolf,Werewolf,Female,unknown,unknown
Dymphna Furmage,Human,Female,unknown,unknown
Edmund Gaddlegate's mother,Human,Female,unknown,Muggle
Josette Gage,Human,Female,unknown,Pure-blood
Cecilia Gallerani,Human,Female,unknown,unknown
Trudy Galston,Human,Female,Hufflepuff,unknown
Ottaline Gambol,Human,Female,unknown,Pure-blood
Hesper Gamp,Human,Female,unknown,Pure-blood
Morwena Ganderwort,Human,Female,unknown,unknown
Carmen Garcia,Human,Female,unknown,unknown
Gormlaith Gaunt,Human,Female,Slytherin,Pure-blood
George Weasley's dance partner,Human,Female,unknown,unknown
German-speaking woman,Human,Female,unknown,unknown
Ghost carollers,unknown,unknown,unknown,unknown
Eleanor Sarah Gibbs,Human,Female,unknown,unknown
Gibson,Human,Female,unknown,Muggle
Cordelia Gifford,Human,Female,Ravenclaw,unknown
Gilbert Bingley's secretary,Human,Female,unknown,Muggle
Gimlet-eyed Hogwarts Headmistress,Human,Female,unknown,unknown
Ginger (musician),Human,Female,unknown,Muggle
Ginger Witch,Human,Female,unknown,unknown
Girl Sorted in 1858,Human,Female,unknown,unknown
Girl who played Amata,Human,Female,unknown,unknown
Girl who played Asha,Human,Female,unknown,unknown
Girl who tested Fainting Fancies,Human,Female,Gryffindor,unknown
Girl whose quill was taken by Cedric,Human,Female,Hufflepuff,unknown
Girl with Flowers,Human,Female,Ravenclaw,unknown
Olivia Gleaves,unknown,Female,unknown,unknown
Katrina von Glockenspieler,Human,Female,unknown,unknown
Gloomy nuns,unknown,Female,unknown,unknown
Maria Glossop,Human,Female,Ravenclaw,unknown
Glossy,Human,Female,unknown,unknown
Goblin family near Nottingham,Goblin,unknown,unknown,unknown
Goblin jazz singer,Goblin,Female,unknown,unknown
Goldstein sisters' mother,Human,Female,unknown,unknown
Porpentina Goldstein,Human,Female,Thunderbird,Half-blood
Queenie Goldstein,Human,Female,Pukwudgie,Half-blood
Arsenia Gonzales,Human,Female,unknown,unknown
Rosie Goodwin (in-universe),Human,Female,unknown,Muggle
Gordon's parents,Human,unknown,unknown,Muggle
Leonora Gore,Human,Female,unknown,unknown
Gunhilda de Gorsemoor,Human,Female,unknown,unknown
Goshawk sisters,unknown,unknown,unknown,unknown
Diadema Goshawk,Human,Female,unknown,unknown
Miranda Goshawk,Human,Female,unknown,unknown
Miranda Goshawk's mother,Human,Female,unknown,unknown
Romilda Goshawk,Human,Female,unknown,unknown
Tangwystl Goshawk,Human,Female,unknown,unknown
Gregory Goyle's mother,Human,Female,unknown,Pure-blood
Hermione Granger's sister,Human,Female,unknown,Muggle
Hermione Granger,Human,Female,Gryffindor,Muggle-born
Hermione Granger's mother,Human,Female,unknown,Muggle
Rose Granger-Weasley,Human,Female,Gryffindor,Half-blood
Olivia Green,Human,Female,Ravenclaw,unknown
Mathilda Greenford,Human,Female,Slytherin,unknown
Aquila Greengrass,unknown,Female,unknown,unknown
Cereus Greengrass,Human,Female,unknown,Pure-blood
Daphne Greengrass,Human,Female,Slytherin,Pure-blood
Lady Grieve,Human,Female,unknown,Muggle
Glynnis Griffiths,Human,Female,unknown,unknown
Wilda Griffiths,Human,Female,unknown,unknown
Mathilda Grimblehawk,Human,Female,unknown,unknown
Stoyanka Grozda,Human,Female,unknown,unknown
Wilhelmina Grubbly-Plank,Human,Female,unknown,unknown
Unidentified Gryffindor girl (IX),Human,Female,Gryffindor,unknown
Unidentified Gryffindor member of Dumbledore's Army (I),Human,Female,Gryffindor,unknown
Curious Gryffindor girl,Human,Female,Gryffindor,unknown
Malodora Grymm,Hag,Female,unknown,unknown
Millie Gudabi,Human,Female,unknown,unknown
Gladys Gudgeon,Human,Female,unknown,unknown
Elladora Guffy,Human,Female,unknown,unknown
Zamira Gulch,Human,Female,unknown,unknown
Lorre Gustafson,Human,Female,unknown,unknown
Gwenog,Human,Female,unknown,unknown
Joyce Haddock,Human,Female,unknown,Muggle
Hall's wife,Human,Female,unknown,Muggle
Yurika Haneda,Human,Female,Slytherin,unknown
Kelly Harborne,Human,Female,Gryffindor,unknown
Harfang Longbottom's daughter,Human,Female,unknown,Pure-blood
Bethany Harrison,Human,Female,unknown,Muggle
Beatrice Haywood,Human,Female,Hufflepuff,Half-blood
Penny Haywood,Human,Female,Hufflepuff,Half-blood
Penny Haywood's mother,Human,Female,unknown,Muggle-born
Healer (Diagon Alley),Human,Female,unknown,unknown
Veronica Heap,unknown,Female,unknown,unknown
Heather,Human,Female,Hufflepuff,unknown
Gwendoline Hedgeflower,Human,Female,Hufflepuff,Pure-blood
Hedwig,Owl,Female,unknown,unknown
Hedwig (wizard),Human,Female,unknown,unknown
Matildus Heizenbert,Human,Female,unknown,unknown
Susanna Hesleden's mother,Human,Female,unknown,unknown
Susanna Hesleden,Human,Female,Ravenclaw,unknown
Eulalie Hicks,Human,Female,unknown,unknown
Shanice Higgins,Human,Female,unknown,unknown
Anna Hill-Hall,Human,Female,unknown,Muggle
Iola Hillicker,unknown,Female,unknown,unknown
Tamsin Hillicker,unknown,Female,unknown,unknown
Minaka Hirakata,Human,Female,unknown,unknown
Marcus Hitchin's mother,Human,Female,unknown,unknown
Violetta Hobday,Human,Female,unknown,unknown
Hogwarts house-elves,House-elf,Male,unknown,unknown
Hogwarts school mice,Mouse,Male,unknown,unknown
Hokey,House-elf,Female,unknown,unknown
Natalie Holkham,Human,Female,Gryffindor,unknown
Thelma Holmes,Human,Female,Gryffindor,unknown
Honoria,Human,Female,unknown,unknown
Rolanda Hooch,Human,Female,unknown,unknown
Daisy Hookum,Human,Female,unknown,unknown
Mafalda Hopkirk,Human,Female,unknown,Pure-blood
Olive Hornby,Human,Female,unknown,unknown
House of Black house-elves,House-elf,unknown,unknown,unknown
Hope Howell,Human,Female,unknown,Muggle
Unidentified Hufflepuff girl (V),Human,Female,Hufflepuff,unknown
Unidentified Hufflepuff girl (III),Human,Female,Hufflepuff,unknown
Unidentified Hufflepuff girl at the Battle of Hogwarts,Human,Female,Hufflepuff,Pure-blood
Unidentified Hufflepuff girl that greets Sir Nicholas (I),Human,Female,Hufflepuff,unknown
Unidentified Hufflepuff lady,Human,Female,Hufflepuff,unknown
Helga Hufflepuff,Human,Female,Hufflepuff,Pure-blood
Zelda Hum,Human,Female,unknown,unknown
Hungarian Horntail in the Dragon Sanctuary,Dragon,Female,unknown,unknown
Lucy Hurst,Human,Female,Gryffindor,unknown
Grizel Hurtz,Human,Female,unknown,unknown
Kay Hurwitz,Human,Female,unknown,Muggle
Helixa Hyslop,Human,Female,unknown,unknown
Syna Hyslop,Human,Female,unknown,unknown
Ice cream seller,Human,Female,unknown,Muggle
Manami Ichijoh,Human,Female,Slytherin,unknown
Iris,Human,Female,unknown,unknown
Doris Irlam,Human,Female,Hufflepuff,unknown
Margaretta Ironbark,Human,Female,unknown,unknown
Ismelda Murk's friends,unknown,unknown,unknown,unknown
Ismelda Murk's paternal grandmother,Human,Female,unknown,unknown
Clara Ivanova,Human,Female,unknown,unknown
Erica J.,Human,Female,Gryffindor,unknown
Jody Jacknife,Human,Female,Slytherin,unknown
Jacob's mother,Human,Female,unknown,unknown
Mary Jauncey,Human,Female,unknown,unknown
Eugenia Jenkins,Human,Female,unknown,unknown
Jackie Jernigan,Human,Female,unknown,unknown
Ella Jo,Human,Female,Gryffindor,unknown
Nandini Johar,Human,Female,Gryffindor,unknown
Angelina Johnson,Human,Female,Gryffindor,Pure-blood
Nola Johnston,Human,Female,Ravenclaw,unknown
Gwenog Jones,Human,Female,unknown,unknown
Hestia Jones,Human,Female,unknown,Pure-blood
Megan Jones,Human,Female,Hufflepuff,Half-blood
Bertha Jorkins's aunt,Human,Female,unknown,unknown
Bertha Jorkins,Human,Female,unknown,unknown
Griselda Jorkins,unknown,Female,unknown,Half-blood
Primrose Jorkins,Human,Female,unknown,unknown
Josephine,Zouwu,Female,unknown,unknown
Josephine Kay,unknown,Female,unknown,unknown
Jules Egwu's parents,Human,unknown,unknown,unknown
Trupti Kadam,Human,Female,Slytherin,unknown
Tomoko Kajiwara,Human,Female,Ravenclaw,unknown
Laurena Kama,Human,Female,unknown,Pure-blood
Anjali Kapoor,Human,Female,Gryffindor,unknown
Mary Karasu,Human,Female,unknown,unknown
Rosa Karasu,Human,Female,unknown,unknown
Tulip Karasu,Human,Female,Ravenclaw,Half-blood
Tulip Karasu's mother,Human,Female,unknown,unknown
Igor Karkaroff's Yule Ball partner,Human,Female,unknown,Pure-blood
Karkus's wife,Giant,Female,unknown,unknown
Lucy Karoonda,Human,Female,unknown,unknown
Gertie Keddle,Human,Female,unknown,unknown
Andrea Kegworth,Human,Female,Ravenclaw,unknown
